Latitude,Longitude,10 Mi Quakes,25 Mi Quakes,50 Mi Quakes,Max Mag 10 Mi,Max Mag 25 Mi,Max Mag 50 Mi,Time D 10Mi,Time D 25Mi,Time D 50Mi,T 10Mi,T 25Mi,T 50Mi
32.786,-115.43816670000001,0,1,1,0.0,2.83,2.83,-1.0,654825.0,654825.0,0.0,0.0,0.0
38.8298333,-122.81133329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.1475,-116.44516670000002,0,0,1,0.0,0.0,3.2,-1.0,-1.0,225628.0,0.0,0.0,0.0
40.290833299999996,-124.684,5,8,14,4.36,4.36,4.69,3467.0,3467.0,235679.0,2.97,3.54,3.54
38.7898333,-122.79866670000001,3,5,11,3.13,3.13,3.98,676240.0,676240.0,1199701.0,3.98,3.98,3.98
40.3685,-125.18133329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
40.4061667,-124.686,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.168,-117.9537,17,20,21,4.4,4.4,4.4,1861916.0,1861916.0,1861916.0,3.2,3.2,3.2
36.7603333,-120.6995,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.4765,-122.7175,0,2,3,0.0,2.69,2.8,-1.0,173990.0,97773.0,2.68,2.84,2.97
33.9841667,-118.21366670000002,0,0,2,0.0,0.0,3.05,-1.0,-1.0,1001009.0,4.0,4.0,4.0
38.0696678,-118.69466399999999,0,1,24,0.0,2.5,4.4,-1.0,743379.0,2122243.0,2.7,2.7,3.2
37.9091667,-118.54899999999999,11,11,20,3.9,3.9,3.9,32695.0,32695.0,480490.0,3.3,3.3,3.5
40.6306667,-121.65633329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.655,-116.2676,1,10,11,2.63,3.73,3.73,1827101.0,806202.0,806202.0,0.0,0.0,3.45
37.5161667,-118.5535,4,5,7,3.81,3.81,3.81,900081.0,900081.0,900081.0,0.0,0.0,2.72
37.367,-121.75133329999998,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.2141667,-122.35883329999999,0,0,5,0.0,0.0,3.81,-1.0,-1.0,1791059.0,0.0,0.0,3.13
38.0696678,-118.69466399999999,0,1,24,0.0,2.5,4.4,-1.0,743379.0,2122243.0,2.7,2.7,3.2
38.1694,-117.8986,18,22,27,3.8,3.8,3.8,1757835.0,1757835.0,1757835.0,3.1,3.1,3.1
35.9715,-120.52333329999999,0,0,1,0.0,0.0,2.52,-1.0,-1.0,2113218.0,2.72,2.72,2.72
40.86,-117.2229,0,1,7,0.0,2.78,3.37,-1.0,2437728.0,1707645.0,0.0,3.31,3.31
36.5605,-118.00216670000002,0,0,10,0.0,0.0,3.26,-1.0,-1.0,1205082.0,0.0,0.0,3.09
39.3763333,-123.2616667,0,2,9,0.0,3.91,3.91,-1.0,1043268.0,1043268.0,2.82,2.82,2.82
