Latitude,Longitude,10 Mi Quakes,25 Mi Quakes,50 Mi Quakes,Max Mag 10 Mi,Max Mag 25 Mi,Max Mag 50 Mi,Time D 10Mi,Time D 25Mi,Time D 50Mi,T 10Mi,T 25Mi,T 50Mi
37.4706667,-121.691,0,0,11,0.0,0.0,3.0,-1.0,-1.0,807948.0,2.55,2.55,2.82
33.939,-116.34100000000001,589,599,606,6.1,6.1,6.1,937539.0,937539.0,937539.0,4.98,4.98,4.98
37.5028333,-118.75016670000001,194,208,208,6.1,6.1,6.1,166511.0,166511.0,166511.0,5.6,5.6,5.6
40.34,-124.65183329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.015666700000004,-117.8735,23,32,36,3.91,3.91,3.91,176624.0,176624.0,176624.0,5.17,5.17,5.17
41.2616667,-123.47416670000001,1,1,2,2.61,2.61,2.81,77215.0,77215.0,640395.0,2.61,2.61,2.61
38.3708,-118.6659,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.7643333,-121.4645,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
40.3138333,-124.60266670000001,0,1,2,0.0,2.98,2.98,-1.0,1020840.0,1020840.0,0.0,0.0,0.0
41.0043333,-123.43816670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
35.9025,-117.69,91,417,425,5.5,7.1,7.1,31.0,1711.0,1711.0,5.44,5.44,5.44
34.0,-117.57700000000001,0,1,5,0.0,2.64,3.26,-1.0,1939051.0,1209067.0,0.0,2.58,2.58
35.6836667,-121.10516670000001,43,73,76,6.5,6.5,6.5,7978.0,7978.0,7978.0,4.7,4.7,4.7
36.105,-114.78299999999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.492,-121.84416670000002,0,2,3,0.0,3.22,3.22,-1.0,2032716.0,2032716.0,2.56,2.72,2.87
38.8216667,-122.83933329999999,0,2,4,0.0,3.2,3.2,-1.0,209873.0,209873.0,0.0,3.5,3.6
36.178000000000004,-117.853,5,6,7,3.58,3.58,3.58,1986873.0,1986873.0,1986873.0,2.51,2.51,2.53
40.3101667,-124.46266670000001,28,29,34,4.4,4.6,4.6,403659.0,883242.0,883242.0,2.67,2.67,3.69
40.278833299999995,-121.90416670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.1411667,-120.2295,0,0,1,0.0,0.0,2.78,-1.0,-1.0,1533318.0,3.07,3.8,3.8
37.451,-115.48200000000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,3.4,3.5,3.5
36.555833299999996,-121.15233329999998,4,9,12,2.9,3.07,3.07,49.0,72857.0,72857.0,2.77,2.77,3.31
38.841,-122.82133329999999,0,0,1,0.0,0.0,2.83,-1.0,-1.0,310251.0,2.52,2.52,2.52
37.4628333,-118.81916670000001,0,0,1,0.0,0.0,2.61,-1.0,-1.0,907805.0,0.0,0.0,2.94
35.7251667,-116.95783329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.7398333,-122.72766670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.0626667,-117.88866670000002,0,0,2,0.0,0.0,3.13,-1.0,-1.0,290334.0,0.0,0.0,0.0
39.6693333,-123.53616670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
41.3745,-123.43683329999999,1,1,1,3.9,3.9,3.9,78051.0,78051.0,78051.0,3.93,3.93,3.93
36.5208333,-118.48416670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.859,-121.7795,67,69,71,5.8,5.8,5.8,74457.0,74457.0,74457.0,5.4,5.4,5.4
36.4406667,-117.9945,0,0,1,0.0,0.0,3.9,-1.0,-1.0,454029.0,0.0,0.0,0.0
34.24,-117.48100000000001,0,0,1,0.0,0.0,3.24,-1.0,-1.0,19903.0,2.67,2.67,2.67
38.795333299999996,-122.7435,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
40.31,-124.50666670000001,4,5,12,3.27,3.27,3.72,2442543.0,2442543.0,49306.0,2.99,3.3,3.3
36.4765,-121.04633329999999,0,0,1,0.0,0.0,3.3,-1.0,-1.0,2187796.0,0.0,0.0,0.0
37.6026667,-118.99316670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.5,-118.75,19,44,48,4.3,5.4,5.4,495.0,410.0,410.0,3.53,5.3,5.3
32.998000000000005,-116.12799999999999,0,1,7,0.0,2.57,3.48,-1.0,1231373.0,2369543.0,0.0,0.0,3.61
40.8731667,-123.54416670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.079666700000004,-120.6335,0,0,5,0.0,0.0,2.98,-1.0,-1.0,2329645.0,2.75,2.75,2.75
40.3688,-117.7202,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.9,2.9,2.9
37.4391667,-118.22233329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
32.953,-117.796,258,259,262,5.45,5.45,5.45,849283.0,849283.0,849283.0,4.31,4.31,4.31
35.5461667,-120.86116670000001,262,624,626,4.41,6.5,6.5,1529251.0,1761697.0,1761697.0,3.68,3.68,3.68
32.8685,-116.2345,0,0,1,0.0,0.0,2.5,-1.0,-1.0,104377.0,0.0,0.0,0.0
34.601,-116.273,0,1,8,0.0,2.85,2.86,-1.0,1198485.0,1137716.0,0.0,0.0,2.78
35.8648333,-114.84866670000001,1,2,2,3.04,3.04,3.04,66.0,66.0,66.0,3.2,3.2,3.2
36.548333299999996,-121.13316670000002,0,0,1,0.0,0.0,2.56,-1.0,-1.0,1149260.0,0.0,0.0,0.0
34.083,-116.435,2,2,9,3.02,3.02,3.63,558523.0,558523.0,2308068.0,2.54,2.58,4.4
37.4776667,-118.78666670000001,24,28,28,3.6,3.6,3.6,1345272.0,1345272.0,1345272.0,2.98,2.98,2.98
32.645166700000004,-115.80066670000001,0,0,2,0.0,0.0,2.92,-1.0,-1.0,681108.0,2.66,2.66,2.66
34.156,-116.426,401,1043,1370,7.3,7.3,7.3,334217.0,334217.0,334217.0,4.44,4.87,5.42
40.6338333,-122.41183329999998,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.2101667,-122.12316670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.63
34.348,-116.46700000000001,7,16,23,2.99,3.73,3.73,2033529.0,2285046.0,2285046.0,2.93,3.26,3.26
37.628666700000004,-118.887,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.7134,-115.9907,0,1,1,0.0,3.19,3.19,-1.0,63859.0,63859.0,0.0,0.0,0.0
33.655,-116.745,2,10,20,4.42,4.42,4.42,21354.0,21354.0,21354.0,2.72,3.54,3.54
39.8066667,-122.87116670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.635999999999996,-116.325,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.8
34.828,-116.31299999999999,0,0,1,0.0,0.0,2.53,-1.0,-1.0,196535.0,0.0,0.0,3.01
34.2928333,-118.43683329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
40.6456667,-124.3005,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.0733,-118.1896,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
33.978666700000005,-116.27933329999999,369,374,381,6.1,6.1,6.1,191475.0,191475.0,191475.0,4.98,4.98,4.98
40.3746667,-125.25316670000001,0,1,2,0.0,2.97,3.19,-1.0,1797249.0,577852.0,0.0,0.0,0.0
33.424,-116.97399999999999,0,2,4,0.0,3.18,3.18,-1.0,187910.0,187910.0,3.12,3.13,3.81
40.3805,-124.31766670000002,69,99,102,7.2,7.2,7.2,14959.0,14959.0,14959.0,4.39,6.57,6.57
38.7319,-119.5868,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
35.7236667,-121.11716670000001,0,1,50,0.0,2.65,3.82,-1.0,1905286.0,983950.0,0.0,0.0,4.51
38.723833299999995,-119.71766670000001,14,15,16,4.0,4.0,4.0,872.0,872.0,872.0,3.4,3.4,3.4
34.233000000000004,-116.81200000000001,508,1286,2331,6.3,7.3,7.3,1024231.0,1035507.0,1035507.0,4.0,4.14,4.14
36.1731667,-117.851,3,6,7,2.7,2.92,2.92,5783.0,753655.0,753655.0,2.6,2.6,2.6
34.681,-116.304,115,186,200,7.1,7.1,7.1,29707.0,29707.0,29707.0,4.64,4.99,4.99
36.573666700000004,-121.16816670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
40.240333299999996,-124.8105,0,1,4,0.0,2.71,2.84,-1.0,28179.0,292632.0,0.0,0.0,3.84
40.393,-125.4005,0,0,3,0.0,0.0,2.91,-1.0,-1.0,380345.0,0.0,0.0,0.0
36.6005,-121.20233329999999,0,0,5,0.0,0.0,4.15,-1.0,-1.0,1058431.0,0.0,3.21,3.21
35.705,-121.04266670000001,10,17,20,6.5,6.5,6.5,2129.0,2129.0,2129.0,4.7,4.7,4.7
36.0215,-117.87283329999998,16,25,29,3.91,3.91,3.91,156737.0,156737.0,156737.0,5.17,5.17,5.17
40.3198333,-124.59566670000001,7,11,13,4.9,4.9,4.9,1805862.0,1805862.0,1805862.0,3.1,3.1,3.1
35.7368333,-118.059,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
33.0421667,-117.88166670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.55,2.55,2.77
38.23,-122.17783329999999,0,1,5,0.0,4.14,4.33,-1.0,1027729.0,891305.0,3.03,3.03,3.03
39.3392,-117.7752,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.8245,-122.40083329999999,9,15,15,2.7,3.6,3.6,1555129.0,908407.0,908407.0,2.74,2.8,2.8
33.422,-116.95100000000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.8335,-122.7965,6,6,8,3.43,3.43,3.43,457959.0,457959.0,457959.0,3.16,3.16,3.7
34.75,-116.42,1,1,8,2.68,2.68,3.64,2330339.0,2330339.0,310907.0,2.83,2.83,2.83
34.231333299999996,-116.88166670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.321,-121.537,0,0,4,0.0,0.0,3.01,-1.0,-1.0,486166.0,2.53,2.53,3.05
33.065,-117.821,146,150,153,5.45,5.45,5.45,171769.0,171769.0,171769.0,4.31,4.31,4.31
38.077,-119.0112,0,137,141,0.0,5.4,5.4,-1.0,2589319.0,2589319.0,2.5,3.8,3.8
36.8481667,-121.57533329999998,2,4,6,3.1,3.7,3.7,432889.0,2516527.0,2516527.0,3.5,3.5,3.5
34.1531667,-117.44783329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.102,-117.325,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
40.4063333,-124.97533329999999,0,0,1,0.0,0.0,3.0,-1.0,-1.0,1749640.0,0.0,0.0,0.0
38.803000000000004,-122.80183329999998,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
33.969,-117.244,7,130,1058,3.56,4.98,7.3,951973.0,1023964.0,1042202.0,2.91,3.94,4.14
33.1455,-115.63416670000001,8,10,11,3.22,3.22,3.26,168948.0,168948.0,945507.0,2.91,2.91,3.06
36.2225,-120.28133329999999,341,372,378,6.7,6.7,6.7,119175.0,119175.0,119175.0,5.2,5.2,5.2
37.4821667,-118.38016670000002,0,2,2,0.0,3.7,3.7,-1.0,2170404.0,2170404.0,0.0,2.63,3.07
38.805,-122.77883329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.749333299999996,-122.9175,0,0,4,0.0,0.0,3.11,-1.0,-1.0,1412583.0,0.0,3.22,3.22
34.0461667,-116.4365,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.8
33.1901667,-116.01333329999999,0,0,15,0.0,0.0,4.3,-1.0,-1.0,1676245.0,0.0,0.0,0.0
36.781,-120.884,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.540833299999996,-118.11866670000002,0,0,4,0.0,0.0,3.06,-1.0,-1.0,2171552.0,2.79,2.79,3.21
38.7228333,-119.73716670000002,0,1,1,0.0,3.1,3.1,-1.0,869851.0,869851.0,0.0,0.0,0.0
36.446999999999996,-118.30799999999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.542333299999996,-118.97683329999998,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.9393333,-121.68316670000002,0,0,3,0.0,0.0,3.02,-1.0,-1.0,962565.0,0.0,0.0,0.0
40.4855,-125.32233329999998,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.309,-119.265,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.6131667,-118.46266670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.5155,-118.83416670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
39.657,-122.71333329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.114000000000004,-120.186,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
40.3556667,-125.25283329999999,4,12,20,4.2,6.6,6.6,61925.0,142187.0,142187.0,4.3,4.8,4.8
33.746,-120.083,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.127166700000004,-120.2325,0,0,1,0.0,0.0,2.79,-1.0,-1.0,570826.0,2.67,2.7,2.7
36.6118333,-121.21833329999998,3,8,12,3.33,3.33,3.33,325969.0,2320987.0,2320987.0,2.94,2.94,2.94
37.6248333,-118.86416670000001,156,170,176,5.4,5.4,5.4,118428.0,118428.0,118428.0,3.42,3.42,3.42
38.092,-121.88383329999999,0,2,2,0.0,2.57,2.57,-1.0,25532.0,25532.0,3.19,3.19,3.19
38.3665,-115.8279,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
33.949,-115.97399999999999,0,0,1,0.0,0.0,3.0,-1.0,-1.0,1337252.0,0.0,0.0,0.0
34.347,-116.46799999999999,52,257,358,4.57,5.23,5.23,2138760.0,1342911.0,1342911.0,3.8,5.26,5.26
32.99,-117.803,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.75
33.8515,-118.25016670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.285,-118.434,1,1,3,2.53,2.53,2.73,2036730.0,2036730.0,2443572.0,2.85,2.85,2.85
35.8011667,-117.60783329999998,9,23,23,3.93,3.93,3.93,2223976.0,2223976.0,2223976.0,2.68,2.84,2.84
36.8806667,-121.60883329999999,0,0,1,0.0,0.0,2.65,-1.0,-1.0,1665186.0,0.0,0.0,2.7
35.973,-117.31366670000001,10,10,11,4.04,4.04,4.04,22859.0,22859.0,22859.0,4.03,4.03,4.03
34.2886667,-116.94183329999998,0,0,2,0.0,0.0,2.96,-1.0,-1.0,1214249.0,0.0,0.0,3.29
36.5983333,-121.20200000000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
35.033,-116.90799999999999,1,1,25,2.51,2.51,4.02,668356.0,668356.0,2304451.0,3.39,3.39,3.39
36.575166700000004,-121.09733329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
33.985,-116.595,99,100,108,6.0,6.0,6.0,15691.0,15691.0,15691.0,4.46,4.46,4.46
34.8923333,-119.36966670000001,0,0,4,0.0,0.0,4.25,-1.0,-1.0,329283.0,2.64,2.64,2.64
33.494,-115.83200000000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
33.2873333,-115.72483329999999,45,46,46,4.33,4.33,4.33,225841.0,225841.0,225841.0,3.21,3.4,3.4
39.1112,-119.7361,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.477,-116.805,0,3,12,0.0,2.88,2.88,-1.0,1703117.0,1703117.0,2.64,2.64,3.53
36.0123333,-117.80816670000002,0,0,6,0.0,0.0,3.31,-1.0,-1.0,2515193.0,0.0,0.0,2.97
35.655,-117.46616670000002,12,19,22,3.24,3.24,3.93,414344.0,414344.0,1874847.0,2.77,3.25,3.81
33.2993333,-116.333,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
35.6696667,-117.51566670000001,436,763,770,7.1,7.1,7.1,8055.0,8055.0,8055.0,4.9,4.9,4.9
36.752166700000004,-121.58766670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,3.07
39.0238333,-121.55016670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.0258,-118.0617,26,27,27,5.1,5.1,5.1,2474659.0,2474659.0,2474659.0,2.6,2.6,2.6
33.018,-116.406,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.7285,-119.634,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.1492,-117.9656,0,3,4,0.0,3.36,3.36,-1.0,1060374.0,1060374.0,0.0,0.0,2.88
34.315,-118.588,346,359,360,6.7,6.7,6.7,69101.0,69101.0,69101.0,5.07,5.07,5.07
36.08,-117.65100000000001,0,3,3,0.0,2.93,2.93,-1.0,272598.0,272598.0,0.0,3.14,3.14
37.556,-121.84433329999999,0,0,4,0.0,0.0,4.2,-1.0,-1.0,2437475.0,2.81,2.81,3.04
35.2698333,-118.54700000000001,0,0,1,0.0,0.0,2.54,-1.0,-1.0,1939064.0,2.63,2.63,2.63
34.0155,-118.97166670000001,0,1,11,0.0,3.0,3.5,-1.0,1392631.0,608881.0,0.0,0.0,2.69
42.0591667,-120.2365,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,3.2
35.369,-118.66,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.7135,-120.73983329999999,0,0,2,0.0,0.0,2.76,-1.0,-1.0,1019113.0,2.56,2.56,2.95
34.361999999999995,-118.615,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,3.27
34.343,-116.46799999999999,188,1092,1321,5.41,7.3,7.3,299154.0,301753.0,301753.0,4.42,5.42,5.42
40.368,-119.7905,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.6,2.6,2.6
32.793,-118.31700000000001,1,2,68,2.56,2.61,4.18,1946309.0,1075330.0,864908.0,2.57,2.57,3.52
34.062,-118.09,10,10,15,5.9,5.9,5.9,1394.0,1394.0,1394.0,5.25,5.25,5.25
36.2261667,-118.32216670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.942,-116.946,25,28,195,4.11,4.11,5.29,2084239.0,2084239.0,1863406.0,3.38,3.38,3.79
35.747833299999996,-117.5425,57,60,63,6.4,6.4,6.4,1769.0,1769.0,1769.0,7.1,7.1,7.1
37.441166700000004,-118.87316670000001,3,9,10,3.21,3.57,3.57,1276466.0,1828594.0,1828594.0,5.3,5.3,5.3
